Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Construção,Participação_percentil,Defesa_percentil,Construção_percentil
T. Kristensen,Udinese,ZAGUEIRO,ITA1,-0.15,-0.62,-1.26,44.0,33.0,25.0
Juan Jesus,Napoli,ZAGUEIRO,ITA1,1.71,-1.8,0.58,98.0,11.0,69.0
L. Pirola,Salernitana,ZAGUEIRO,ITA1,-1.76,1.04,-0.72,5.0,80.0,39.0
E. Ndicka,Roma,ZAGUEIRO,ITA1,1.04,-1.05,1.79,85.0,23.0,86.0
S. Walukiewicz,Empoli,ZAGUEIRO,ITA1,0.22,2.0,-0.82,60.0,90.0,36.0
A. Ismajli,Empoli,ZAGUEIRO,ITA1,0.27,-0.66,0.31,63.0,32.0,61.0
S. Kolašinac,Atalanta,ZAGUEIRO,ITA1,0.03,-0.5,-0.15,49.0,36.0,52.0
J. Bijol,Udinese,ZAGUEIRO,ITA1,0.05,1.72,-1.02,52.0,89.0,30.0
P. Dawidowicz,Hellas Verona,ZAGUEIRO,ITA1,-0.27,0.03,-0.89,37.0,50.0,35.0
L. Caldirola,Monza,ZAGUEIRO,ITA1,-0.51,-1.92,-0.28,29.0,8.0,49.0
F. Tomori,Milan,ZAGUEIRO,ITA1,0.46,0.04,0.18,69.0,51.0,60.0
G. Ferrari,Sassuolo,ZAGUEIRO,ITA1,0.15,-2.3,2.04,58.0,2.0,89.0
M. Bani,Genoa,ZAGUEIRO,ITA1,-0.17,0.2,-1.19,43.0,62.0,26.0
R. Calafiori,Bologna,ZAGUEIRO,ITA1,0.66,1.58,-0.08,77.0,87.0,54.0
L. Martínez Quarta,Fiorentina,ZAGUEIRO,ITA1,0.39,3.47,5.75,65.0,100.0,100.0
A. Bastoni,Internazionale,ZAGUEIRO,ITA1,-1.07,-1.02,3.59,17.0,24.0,96.0
K. De Winter,Genoa,ZAGUEIRO,ITA1,-0.24,-0.42,-1.79,39.0,39.0,17.0
A. Tamèze,Torino,ZAGUEIRO,ITA1,0.54,0.14,-0.66,70.0,56.0,42.0
Diego Llorente,Roma,ZAGUEIRO,ITA1,0.81,0.19,-0.93,80.0,60.0,32.0
J. Lucumí,Bologna,ZAGUEIRO,ITA1,1.09,-0.38,1.33,87.0,40.0,80.0
F. Acerbi,Internazionale,ZAGUEIRO,ITA1,1.06,-1.41,-1.05,86.0,18.0,29.0
S. Beukema,Bologna,ZAGUEIRO,ITA1,-0.18,-0.93,1.67,42.0,26.0,83.0
A. Romagnoli,Lazio,ZAGUEIRO,ITA1,0.93,-1.86,1.2,82.0,10.0,77.0
G. Scalvini,Atalanta,ZAGUEIRO,ITA1,0.61,1.14,0.77,74.0,83.0,74.0
N. Milenković,Fiorentina,ZAGUEIRO,ITA1,1.38,0.21,-0.36,92.0,64.0,46.0
M. Erlić,Sassuolo,ZAGUEIRO,ITA1,0.09,0.2,-0.43,55.0,63.0,44.0
Danilo,Juventus,ZAGUEIRO,ITA1,-0.48,0.7,3.35,32.0,74.0,95.0
A. Buongiorno,Torino,ZAGUEIRO,ITA1,0.25,2.58,-2.68,62.0,95.0,4.0
G. Magnani,Hellas Verona,ZAGUEIRO,ITA1,-1.1,-0.59,-0.92,15.0,35.0,33.0
S. Romagnoli,Frosinone,ZAGUEIRO,ITA1,-0.21,-0.48,-1.86,40.0,37.0,14.0
A. Rrahmani,Napoli,ZAGUEIRO,ITA1,-0.5,-2.1,2.51,30.0,5.0,92.0
F. Gatti,Juventus,ZAGUEIRO,ITA1,0.43,-1.79,0.41,67.0,12.0,63.0
Pablo Marí,Monza,ZAGUEIRO,ITA1,-0.36,-0.29,0.32,35.0,43.0,62.0
R. Rodríguez,Torino,ZAGUEIRO,ITA1,-0.78,-1.16,1.38,21.0,20.0,81.0
J. Vásquez,Genoa,ZAGUEIRO,ITA1,0.45,0.67,-1.38,68.0,71.0,23.0
C. Okoli,Frosinone,ZAGUEIRO,ITA1,0.61,0.17,0.48,75.0,58.0,64.0
B. Djimsiti,Atalanta,ZAGUEIRO,ITA1,1.88,1.39,-2.2,100.0,86.0,10.0
G. Mancini,Roma,ZAGUEIRO,ITA1,1.03,-1.44,3.91,83.0,15.0,99.0
A. Dossena,Cagliari,ZAGUEIRO,ITA1,-1.4,1.62,-0.77,8.0,88.0,37.0
M. Pongračić,Lecce,ZAGUEIRO,ITA1,-1.17,0.2,0.73,14.0,61.0,73.0
Bremer,Juventus,ZAGUEIRO,ITA1,1.67,0.26,-0.22,95.0,65.0,51.0
N. Pérez,Udinese,ZAGUEIRO,ITA1,-1.83,0.11,0.01,4.0,55.0,55.0
F. Baschirotto,Lecce,ZAGUEIRO,ITA1,0.04,-1.94,-1.5,51.0,6.0,21.0
S. Luperto,Empoli,ZAGUEIRO,ITA1,-1.21,-2.11,0.11,10.0,4.0,57.0
I. Marconi,Palermo,ZAGUEIRO,ITA2,0.22,1.14,-0.6,57.0,79.0,42.0
F. Sørensen,Ternana,ZAGUEIRO,ITA2,1.35,4.64,0.67,93.0,100.0,73.0
S. Väisänen,Ascoli,ZAGUEIRO,ITA2,-0.45,-2.07,-0.81,32.0,2.0,31.0
A. Celli,Catania,ZAGUEIRO,ITA2,-1.2,-1.61,2.06,12.0,15.0,93.0
M. Leverbe,Pisa,ZAGUEIRO,ITA2,1.77,-0.15,1.71,98.0,48.0,86.0
L. Libutti,Reggiana,ZAGUEIRO,ITA2,0.27,-1.77,-0.82,58.0,10.0,30.0
L. Mühl,Spezia,ZAGUEIRO,ITA2,0.73,3.88,-0.67,78.0,99.0,40.0
F. Romagna,Reggiana,ZAGUEIRO,ITA2,0.37,-0.68,-0.48,60.0,36.0,46.0
C. Dalle Mura,Ternana,ZAGUEIRO,ITA2,-0.81,1.82,-1.64,21.0,89.0,12.0
E. Matino,Bari,ZAGUEIRO,ITA2,0.34,-0.06,-2.63,59.0,52.0,2.0
A. Fontanarosa,Cosenza,ZAGUEIRO,ITA2,-1.92,0.69,1.52,7.0,72.0,85.0
N. Bertola,Spezia,ZAGUEIRO,ITA2,-1.94,1.95,-0.65,6.0,91.0,41.0
F. Sgarbi,Ternana,ZAGUEIRO,ITA2,-1.21,0.48,-0.03,11.0,69.0,54.0
P. Szymiński,Reggiana,ZAGUEIRO,ITA2,0.61,-0.65,0.17,67.0,38.0,60.0
M. Angeli,Cittadella,ZAGUEIRO,ITA2,0.41,1.64,-0.74,63.0,86.0,37.0
K. Vinetot,Südtirol,ZAGUEIRO,ITA2,-2.64,-1.44,-1.27,2.0,17.0,21.0
F. Scaglia,Südtirol,ZAGUEIRO,ITA2,0.69,-0.68,-1.42,74.0,37.0,16.0
B. Balogh,Parma,ZAGUEIRO,ITA2,0.02,1.41,-1.78,47.0,84.0,6.0
A. Cagnano,Südtirol,ZAGUEIRO,ITA2,-0.33,2.16,-0.67,37.0,93.0,38.0
Matias Antonini,Catanzaro,ZAGUEIRO,ITA2,1.44,-0.58,-0.43,95.0,40.0,47.0
A. Calabresi,Pisa,ZAGUEIRO,ITA2,0.05,-0.25,1.0,49.0,43.0,75.0
S. Negro,Cittadella,ZAGUEIRO,ITA2,0.85,2.42,-0.5,81.0,96.0,44.0
D. Frare,Cittadella,ZAGUEIRO,ITA2,-1.74,0.39,-1.61,9.0,68.0,14.0
A. Pilati,FeralpiSalò,ZAGUEIRO,ITA2,0.63,2.29,-1.69,68.0,95.0,10.0
C. Cauz,Modena,ZAGUEIRO,ITA2,1.05,-1.7,-1.08,85.0,14.0,25.0
A. Riccio,Modena,ZAGUEIRO,ITA2,-1.19,-0.01,-1.73,14.0,56.0,9.0
E. Goldaniga,Como,ZAGUEIRO,ITA2,-0.93,-1.41,2.95,16.0,19.0,98.0
I. Nedelcearu,Palermo,ZAGUEIRO,ITA2,-2.33,-1.94,-1.1,4.0,5.0,22.0
P. Hristov,Spezia,ZAGUEIRO,ITA2,-1.16,-1.29,-1.5,15.0,20.0,15.0
K. Amian,Nantes,ZAGUEIRO,ITA2,-1.37,0.11,0.49,10.0,60.0,67.0
M. Svoboda,Venezia,ZAGUEIRO,ITA2,-0.11,1.22,1.24,44.0,83.0,80.0
L. Lochoshvili,Cremonese,ZAGUEIRO,ITA2,1.35,0.37,0.92,91.0,65.0,74.0
N. Murru,Sampdoria,ZAGUEIRO,ITA2,-0.7,-0.01,-0.04,23.0,57.0,53.0
A. Pergreffi,Modena,ZAGUEIRO,ITA2,-0.47,-2.02,-1.36,31.0,4.0,20.0
M. Camporese,Cosenza,ZAGUEIRO,ITA2,-2.13,-1.83,-1.89,5.0,9.0,5.0
A. Bianconi,Lecco,ZAGUEIRO,ITA2,0.11,-1.53,-3.19,53.0,16.0,1.0
D. Quaranta,Ascoli,ZAGUEIRO,ITA2,-0.31,-0.55,-0.77,41.0,41.0,33.0
A. Caracciolo,Pisa,ZAGUEIRO,ITA2,0.69,-1.28,0.03,72.0,22.0,58.0
A. Meroni,Cosenza,ZAGUEIRO,ITA2,0.81,0.8,0.05,80.0,75.0,59.0
A. Cistana,Brescia,ZAGUEIRO,ITA2,2.02,-0.21,5.51,99.0,46.0,100.0
D. Adorni,Brescia,ZAGUEIRO,ITA2,-0.6,-0.82,-1.09,26.0,32.0,23.0
M. Mangraviti,Brescia,ZAGUEIRO,ITA2,-0.85,-1.91,1.17,20.0,6.0,78.0
Eric Botteghin,Ascoli,ZAGUEIRO,ITA2,0.18,0.39,-0.93,54.0,67.0,27.0
P. Rozzio,Reggiana,ZAGUEIRO,ITA2,-0.73,-1.72,-1.37,22.0,11.0,19.0
Y. Osorio,Parma,ZAGUEIRO,ITA2,0.4,-1.18,-1.77,62.0,25.0,7.0
M. Sampirisi,Reggiana,ZAGUEIRO,ITA2,0.67,-1.05,0.39,70.0,27.0,64.0
M. Curto,Como,ZAGUEIRO,ITA2,-0.39,0.23,0.54,36.0,63.0,68.0
M. Capuano,Ternana,ZAGUEIRO,ITA2,-0.53,2.47,-0.79,28.0,98.0,32.0
L. Lucchesi,Ternana,ZAGUEIRO,ITA2,0.73,2.23,-0.06,77.0,94.0,52.0
L. Ravanelli,Cremonese,ZAGUEIRO,ITA2,1.07,1.89,-0.5,86.0,90.0,43.0
J. Idzes,Venezia,ZAGUEIRO,ITA2,1.32,-0.02,1.4,90.0,54.0,83.0
F. Lucioni,Palermo,ZAGUEIRO,ITA2,0.44,-1.04,3.34,64.0,28.0,99.0
B. Martella,FeralpiSalò,ZAGUEIRO,ITA2,-2.76,-1.72,0.55,1.0,12.0,69.0
F. González,Sampdoria,ZAGUEIRO,ITA2,-0.31,-0.85,1.34,40.0,31.0,81.0
V. Celjak,Lecco,ZAGUEIRO,ITA2,-0.03,-0.13,-0.75,46.0,49.0,36.0
V. Mantovani,Ascoli,ZAGUEIRO,ITA2,0.86,-0.73,0.03,83.0,33.0,57.0
D. Balestrero,FeralpiSalò,ZAGUEIRO,ITA2,0.05,1.1,-1.4,48.0,78.0,17.0
C. Odenthal,Como,ZAGUEIRO,ITA2,-0.51,0.09,0.66,30.0,59.0,72.0
P. Ceccaroni,Palermo,ZAGUEIRO,ITA2,1.56,0.74,2.18,96.0,73.0,94.0
A. Circati,Parma,ZAGUEIRO,ITA2,-0.93,-1.28,-1.66,17.0,21.0,11.0
L. Ceppitelli,FeralpiSalò,ZAGUEIRO,ITA2,-0.56,1.77,-2.61,27.0,88.0,4.0
M. Venturi,Cosenza,ZAGUEIRO,ITA2,0.67,1.21,0.3,69.0,81.0,63.0
A. Papetti,Brescia,ZAGUEIRO,ITA2,-0.31,1.08,0.26,38.0,77.0,62.0
G. Altare,Venezia,ZAGUEIRO,ITA2,0.8,1.58,1.45,79.0,85.0,84.0
G. Bellusci,Ascoli,ZAGUEIRO,ITA2,-0.42,0.07,1.94,33.0,58.0,91.0
F. Barba,Como,ZAGUEIRO,ITA2,-0.6,-2.16,-0.95,25.0,1.0,26.0
M. Šverko,Venezia,ZAGUEIRO,ITA2,0.69,-0.23,2.68,73.0,44.0,96.0
F. Bergonzi,FeralpiSalò,ZAGUEIRO,ITA2,-0.2,-0.91,-0.39,42.0,30.0,49.0
N. Pavan,Cittadella,ZAGUEIRO,ITA2,0.11,-0.21,-0.2,52.0,47.0,51.0
N. Brighenti,Catanzaro,ZAGUEIRO,ITA2,2.48,0.79,0.47,100.0,74.0,65.0
V. Antov,Cremonese,ZAGUEIRO,ITA2,1.4,0.21,1.19,94.0,62.0,79.0
M. Bianchetti,Cremonese,ZAGUEIRO,ITA2,1.29,-0.05,2.31,89.0,53.0,95.0
A. Marcandalli,Reggiana,ZAGUEIRO,ITA2,0.55,-0.06,-0.84,65.0,51.0,28.0
D. Nikolaou,Spezia,ZAGUEIRO,ITA2,-0.89,-1.18,0.57,19.0,26.0,70.0
A. Masiello,Südtirol,ZAGUEIRO,ITA2,-0.39,-0.69,1.87,35.0,35.0,90.0
S. Diakité,Palermo,ZAGUEIRO,ITA2,0.07,0.51,-0.02,51.0,70.0,56.0
S. Canestrelli,Pisa,ZAGUEIRO,ITA2,0.88,-1.23,1.07,84.0,23.0,77.0
S. Scognamillo,Catanzaro,ZAGUEIRO,ITA2,1.2,-0.42,1.72,88.0,42.0,88.0
D. Ghilardi,Sampdoria,ZAGUEIRO,ITA2,0.71,0.24,-0.39,75.0,64.0,48.0
G. Zaro,Modena,ZAGUEIRO,ITA2,0.22,1.2,1.82,56.0,80.0,89.0
F. Vicari,Bari,ZAGUEIRO,ITA2,-0.18,-1.9,-0.76,43.0,7.0,35.0
K. Yamamura,Yokohama F. Marinos,ZAGUEIRO,JAP,0.08,-1.12,-0.03,50.0,17.0,64.0
Jesiel,Kawasaki Frontale,ZAGUEIRO,JAP,-1.17,-0.44,-0.6,17.0,42.0,42.0
S. Kurumaya,Kawasaki Frontale,ZAGUEIRO,JAP,0.77,-0.56,0.55,82.0,38.0,70.0
S. Hatanaka,Yokohama F. Marinos,ZAGUEIRO,JAP,0.5,-0.41,1.07,74.0,45.0,74.0
Kwon Kyung-Won,Suwon,ZAGUEIRO,JAP,-0.38,-1.34,-1.7,33.0,14.0,9.0
R. Nishio,Cerezo Osaka,ZAGUEIRO,JAP,-0.01,-1.67,-0.64,48.0,5.0,39.0
D. Miya,Avispa Fukuoka,ZAGUEIRO,JAP,-0.52,0.7,-0.22,27.0,77.0,58.0
Ha Chang-Rae,Nagoya Grampus,ZAGUEIRO,JAP,-0.19,0.28,-0.83,39.0,70.0,35.0
Jang Min-Gyu,Machida Zelvia,ZAGUEIRO,JAP,-1.35,-0.69,-2.5,12.0,27.0,2.0
R. Inoue,Urawa Reds,ZAGUEIRO,JAP,-0.19,0.38,-1.59,38.0,74.0,14.0
S. Inoue,Avispa Fukuoka,ZAGUEIRO,JAP,-2.75,0.02,-0.9,3.0,59.0,30.0
G. Shōji,Machida Zelvia,ZAGUEIRO,JAP,-0.9,-1.58,-2.23,20.0,9.0,3.0
Y. Kimoto,Tokyo,ZAGUEIRO,JAP,0.53,0.69,-0.99,77.0,76.0,26.0
B. Nduka,Yokohama,ZAGUEIRO,JAP,-0.06,-0.5,-0.72,44.0,41.0,38.0
I. Drešević,Machida Zelvia,ZAGUEIRO,JAP,0.35,1.89,-0.39,64.0,94.0,53.0
Mateus Moraes,Vegalta Sendai,ZAGUEIRO,JAP,-0.01,1.26,-0.93,47.0,88.0,27.0
N. Hayashi,Tokyo Verdy,ZAGUEIRO,JAP,0.23,-0.59,-1.29,59.0,35.0,20.0
K. Yoshino,Daegu,ZAGUEIRO,JAP,-1.18,-1.56,-0.47,15.0,11.0,47.0
Ricardo Graça,Júbilo Iwata,ZAGUEIRO,JAP,-0.73,1.46,2.29,23.0,91.0,92.0
Y. Sato,Urawa Reds,ZAGUEIRO,JAP,0.22,-0.16,2.32,58.0,53.0,94.0
Tae-Hyeon Kim,Sagan Tosu,ZAGUEIRO,JAP,0.48,-0.98,-0.19,71.0,20.0,59.0
K. Takai,Kawasaki Frontale,ZAGUEIRO,JAP,-0.46,-0.22,1.36,30.0,50.0,83.0
Hwang Seok-Ho,Ulsan Hyundai,ZAGUEIRO,JAP,0.29,-1.65,-0.28,61.0,6.0,56.0
Y. Nogami,Nagoya Grampus,ZAGUEIRO,JAP,-0.99,-0.62,3.65,18.0,32.0,97.0
K. Mikuni,Nagoya Grampus,ZAGUEIRO,JAP,0.42,-0.01,-1.6,70.0,58.0,12.0
R. Shindo,Cerezo Osaka,ZAGUEIRO,JAP,0.4,-0.96,1.15,68.0,21.0,77.0
M. Fitzgerald,Albirex Niigata,ZAGUEIRO,JAP,2.14,-0.33,1.65,97.0,48.0,86.0
G. Miura,Gamba Osaka,ZAGUEIRO,JAP,0.66,0.94,0.24,80.0,83.0,67.0
H. Fujii,Kortrijk,ZAGUEIRO,JAP,0.53,0.86,1.13,79.0,82.0,76.0
K. Iwatake,Yokohama,ZAGUEIRO,JAP,-0.56,-0.85,-1.67,24.0,24.0,11.0
T. Kamijima,Yokohama F. Marinos,ZAGUEIRO,JAP,1.64,0.94,3.16,91.0,85.0,95.0
T. Watanabe,Yokohama F. Marinos,ZAGUEIRO,JAP,1.26,-0.61,1.24,89.0,33.0,79.0
T. Nakamura,Consadole Sapporo,ZAGUEIRO,JAP,-0.44,0.13,1.27,32.0,62.0,80.0
A. Kawazura,Nagoya Grampus,ZAGUEIRO,JAP,-0.54,-0.51,-0.56,26.0,39.0,45.0
H. Tawiah,Kyoto Sanga,ZAGUEIRO,JAP,0.12,1.04,-2.06,53.0,86.0,8.0
S. Baba,Consadole Sapporo,ZAGUEIRO,JAP,2.02,1.75,1.78,95.0,92.0,88.0
Y. Honda,Vissel Kobe,ZAGUEIRO,JAP,0.2,-0.15,-1.52,56.0,55.0,17.0
M. Tashiro,Avispa Fukuoka,ZAGUEIRO,JAP,-3.07,-1.97,-0.75,2.0,3.0,36.0
Eduardo,Yokohama F. Marinos,ZAGUEIRO,JAP,2.3,3.09,4.75,98.0,97.0,100.0
K. Oiwa,Shonan Bellmare,ZAGUEIRO,JAP,-0.27,-0.74,-0.4,36.0,26.0,52.0
T. Ominami,Kawasaki Frontale,ZAGUEIRO,JAP,0.38,0.15,-1.01,67.0,65.0,24.0
K. Ohno,Shonan Bellmare,ZAGUEIRO,JAP,-1.26,-0.57,-1.57,14.0,36.0,15.0
T. Deng,Albirex Niigata,ZAGUEIRO,JAP,0.51,-1.37,1.45,76.0,12.0,85.0
Henrique Trevisan,Tokyo,ZAGUEIRO,JAP,1.1,3.5,-0.46,86.0,98.0,48.0
Douglas Grolli,Avispa Fukuoka,ZAGUEIRO,JAP,-1.53,2.22,-0.84,9.0,95.0,33.0
T. Inukai,Kashiwa Reysol,ZAGUEIRO,JAP,-0.76,-1.17,-0.0,21.0,15.0,65.0
M. Morishige,Tokyo,ZAGUEIRO,JAP,0.36,0.37,0.35,65.0,73.0,68.0
Kim Min-Tae,Shonan Bellmare,ZAGUEIRO,JAP,-0.29,1.37,-0.56,35.0,89.0,44.0
T. Shiotani,Sanfrecce Hiroshima,ZAGUEIRO,JAP,0.08,-0.2,4.08,52.0,52.0,98.0
T. Yamakawa,Vissel Kobe,ZAGUEIRO,JAP,-0.47,0.14,-0.12,29.0,64.0,61.0
H. Araki,Sanfrecce Hiroshima,ZAGUEIRO,JAP,0.15,0.72,-1.42,55.0,80.0,18.0
D. Okamura,Consadole Sapporo,ZAGUEIRO,JAP,3.25,6.15,1.33,100.0,100.0,82.0
S. Fukuoka,Gamba Osaka,ZAGUEIRO,JAP,0.85,0.17,-0.37,85.0,67.0,55.0
T. Nara,Avispa Fukuoka,ZAGUEIRO,JAP,-2.12,0.25,-1.21,6.0,68.0,21.0
K. Toriumi,Cerezo Osaka,ZAGUEIRO,JAP,-0.04,-0.95,-2.06,45.0,23.0,6.0
Thuler,Vissel Kobe,ZAGUEIRO,JAP,-1.49,0.33,-2.11,11.0,71.0,5.0
K. Yamazaki,Sagan Tosu,ZAGUEIRO,JAP,0.49,-0.39,-0.85,73.0,47.0,32.0
I. Sekigawa,Kashima Antlers,ZAGUEIRO,JAP,-0.09,-1.12,-0.63,42.0,18.0,41.0
A. Scholz,Urawa Reds,ZAGUEIRO,JAP,1.92,-0.68,0.67,94.0,30.0,71.0
S. Sasaki,Sanfrecce Hiroshima,ZAGUEIRO,JAP,1.23,0.71,2.29,88.0,79.0,91.0
T. Koga,Kashiwa Reysol,ZAGUEIRO,JAP,-2.44,-2.18,-1.18,5.0,2.0,23.0
S. Nakatani,Gamba Osaka,ZAGUEIRO,JAP,0.84,-0.43,-0.9,83.0,44.0,29.0
S. Asada,Kyoto Sanga,ZAGUEIRO,JAP,-1.89,-0.68,-0.06,8.0,29.0,62.0
N. Ueda,Kashima Antlers,ZAGUEIRO,JAP,-0.15,-1.58,1.04,41.0,8.0,73.0
S. Tanaka,Cerezo Osaka,ZAGUEIRO,JAP,0.31,0.06,2.08,62.0,61.0,89.0
M. Høibråten,Urawa Reds,ZAGUEIRO,JAP,1.72,-0.06,-0.46,92.0,56.0,50.0
Min-Kwang Jeon,Pohang Steelers,ZAGUEIRO,KOR,-0.86,-4.45,-1.67,15.0,2.0,15.0
Cho Yu-Min,Al Sharjah,ZAGUEIRO,KOR,0.8,2.17,2.77,80.0,96.0,98.0
Jong-Eun Lim,Ulsan Hyundai,ZAGUEIRO,KOR,-0.84,-1.07,0.13,16.0,27.0,58.0
Hwang Seok-Ho,Ulsan Hyundai,ZAGUEIRO,KOR,-1.94,-2.34,1.12,4.0,5.0,76.0
M. Jonjić,Incheon United,ZAGUEIRO,KOR,-0.28,1.53,-1.24,35.0,84.0,24.0
Seo-Joon Byeon,Gwangju,ZAGUEIRO,KOR,1.76,0.39,1.52,100.0,60.0,84.0
Lee Han-Beom,Midtjylland,ZAGUEIRO,KOR,0.73,1.65,1.69,78.0,87.0,91.0
Dong-hee Lee,Pohang Steelers,ZAGUEIRO,KOR,1.32,1.21,0.92,87.0,78.0,75.0
Hong Jeong-Ho,Jeonbuk Motors,ZAGUEIRO,KOR,-0.21,-0.34,1.48,38.0,42.0,82.0
L. Jackson,Suwon,ZAGUEIRO,KOR,-1.15,0.24,0.15,11.0,58.0,60.0
T. Letschert,Chengdu Rongcheng,ZAGUEIRO,KOR,-0.61,-2.29,1.63,27.0,7.0,89.0
Kwon Han-Jin,Incheon United,ZAGUEIRO,KOR,-1.89,-0.19,-1.97,5.0,47.0,11.0
Wan-Kyu Kwon,Seoul,ZAGUEIRO,KOR,0.47,-0.55,-0.04,75.0,38.0,55.0
Jung Seung-Hyun,Al Wasl,ZAGUEIRO,KOR,0.28,-0.09,2.01,65.0,51.0,96.0
Kwon Kyung-Won,Suwon,ZAGUEIRO,KOR,-0.78,-1.84,1.56,18.0,11.0,87.0
Lee Jung-Taek,Daejeon Citizen,ZAGUEIRO,KOR,1.52,1.13,-2.32,91.0,75.0,5.0
Hugo Gomes,Muaither,ZAGUEIRO,KOR,1.76,1.63,-1.17,98.0,85.0,25.0
Oh-Kyu Kim,Seoul E-Land,ZAGUEIRO,KOR,-0.61,-0.78,1.92,29.0,31.0,95.0
Min-Duk Kim,Gimcheon Sangmu,ZAGUEIRO,KOR,0.04,-1.14,-1.93,51.0,25.0,13.0
Ho-Gang Han,Suwon Bluewings,ZAGUEIRO,KOR,-1.86,-1.28,-1.49,7.0,18.0,18.0
Se-Gye Shin,Seoul E-Land,ZAGUEIRO,KOR,-0.63,-0.41,-0.49,25.0,40.0,40.0
Je-Woon Yeon,Jeju United,ZAGUEIRO,KOR,-0.73,-1.92,-0.23,24.0,9.0,51.0
H. Delbridge,Incheon United,ZAGUEIRO,KOR,1.71,1.17,-0.36,95.0,76.0,44.0
Ha Chang-Rae,Nagoya Grampus,ZAGUEIRO,KOR,-0.76,0.97,-1.62,20.0,71.0,16.0
Joo-Won Kim,Seongnam,ZAGUEIRO,KOR,-0.06,-1.28,-2.47,45.0,20.0,4.0
Chang-Woo Rim,Jeju United,ZAGUEIRO,KOR,-1.12,-0.83,1.4,13.0,29.0,78.0
Park Chan-Yong,Pohang Steelers,ZAGUEIRO,KOR,0.09,-1.23,0.87,56.0,22.0,73.0
Dae-Won Park,Gimcheon Sangmu,ZAGUEIRO,KOR,0.2,-1.32,-0.3,64.0,16.0,45.0
A. Calver,Daejeon Citizen,ZAGUEIRO,KOR,0.51,0.1,1.89,76.0,55.0,93.0
Kang-San Kim,Daegu,ZAGUEIRO,KOR,0.93,1.71,-1.11,85.0,89.0,29.0
Woon Jeong,Jeju United,ZAGUEIRO,KOR,-0.48,-1.16,0.6,31.0,24.0,69.0
Jin-Woo Jo,Gimcheon Sangmu,ZAGUEIRO,KOR,0.4,1.41,-1.0,71.0,80.0,33.0
Ju-Hun Song,Jeju United,ZAGUEIRO,KOR,0.09,1.84,-0.02,55.0,91.0,56.0
Kim Kee-Hee,Ulsan Hyundai,ZAGUEIRO,KOR,-0.03,-0.67,1.53,49.0,35.0,85.0
A. Grant,Tianjin Tigers,ZAGUEIRO,KOR,0.86,0.79,0.33,84.0,69.0,62.0
Myeong-Seok Ko,Daegu,ZAGUEIRO,KOR,-0.15,0.11,-1.35,42.0,56.0,20.0
Osmar Barba,Seoul E-Land,ZAGUEIRO,KOR,0.12,0.72,1.47,58.0,65.0,80.0
Kim Dong-Min,Incheon United,ZAGUEIRO,KOR,0.16,3.3,-1.3,62.0,100.0,22.0
Ku Ja-Ryong,Jeonbuk Motors,ZAGUEIRO,KOR,-0.4,-1.61,-1.03,33.0,13.0,31.0
Gi-hyuk Lee,Gangwon,ZAGUEIRO,KOR,1.68,2.02,0.51,93.0,95.0,67.0
Yeon-Soo Kim,Incheon United,ZAGUEIRO,KOR,0.37,1.93,-0.86,69.0,93.0,35.0
Hyun-Woo Kim,Daejeon Citizen,ZAGUEIRO,KOR,0.28,2.78,-0.78,67.0,98.0,36.0
Jeong-Un Hong,Daejeon Citizen,ZAGUEIRO,KOR,-0.25,0.76,-2.65,36.0,67.0,2.0
Ban-Suk Oh,Incheon United,ZAGUEIRO,KOR,-0.04,1.04,-1.15,47.0,73.0,27.0
Chae-Min Lim,Jeju United,ZAGUEIRO,KOR,-0.12,-0.12,0.73,44.0,49.0,71.0
M. Tuci,Gangwon,ZAGUEIRO,KOR,1.4,0.07,-0.21,89.0,53.0,53.0
Kim Young-Gwon,Ulsan Hyundai,ZAGUEIRO,KOR,-2.27,-2.92,7.44,2.0,4.0,100.0
Jeong Tae-Wook,Jeonbuk Motors,ZAGUEIRO,KOR,0.08,-0.76,-0.62,53.0,33.0,38.0
Park Jin-Seob,Jeonbuk Motors,ZAGUEIRO,KOR,-0.18,0.62,0.47,40.0,64.0,64.0
Kim Young-Bin,Gangwon,ZAGUEIRO,KOR,0.14,0.61,-2.2,60.0,62.0,7.0
Kim Ju-Sung,Seoul,ZAGUEIRO,KOR,0.82,-0.3,-0.25,82.0,45.0,49.0
Young-Kyu Ahn,Gwangju,ZAGUEIRO,KOR,-0.73,-1.5,0.51,22.0,15.0,65.0
A. Krivotsyuk,Daejeon Citizen,ZAGUEIRO,KOR,1.72,1.44,-0.3,96.0,82.0,47.0
Bong-Soo Kim,Gimcheon Sangmu,ZAGUEIRO,KOR,0.43,-0.31,-0.4,73.0,44.0,42.0
Jin-Hyuk Kim,Daegu,ZAGUEIRO,KOR,-1.69,-0.63,-2.09,9.0,36.0,9.0
N. Micolta,Pachuca,ZAGUEIRO,MEX,-2.69,-1.68,-0.65,4.0,12.0,34.0
R. Prieto,Santos Laguna,ZAGUEIRO,MEX,-1.42,-0.29,-0.15,7.0,36.0,52.0
C. Robles,Atlas,ZAGUEIRO,MEX,0.64,1.36,0.51,77.0,86.0,68.0
J. Silva,Atlético de San Luis,ZAGUEIRO,MEX,0.21,-0.12,0.43,61.0,48.0,62.0
