Atleta,Equipe Janela Análise,Posição,Liga,Participação,Defesa,Apoio,Ataque,Último passe,Drible,Participação_percentil,Defesa_percentil,Apoio_percentil,Ataque_percentil,ùltimo_passe_percentil,Drible_percentil
I. Diallo,Hajduk Split,LATERAL,FRA1,-0.0,0.93,-0.56,-0.77,-2.24,-0.33,51.0,73.0,35.0,25.0,3.0,44.0
Nuno Tavares,Nottingham Forest,LATERAL,FRA1,0.34,-0.99,2.1,0.35,1.4,3.21,68.0,27.0,94.0,67.0,81.0,98.0
J. Belocian,Rennes,LATERAL,FRA1,0.01,-1.15,-1.34,-1.21,-2.85,-1.37,54.0,21.0,10.0,13.0,2.0,2.0
M. Haïdara,Lens,LATERAL,FRA1,-1.23,-1.22,-0.75,-0.26,-0.67,-0.9,19.0,17.0,25.0,44.0,40.0,22.0
T. Delaine,Strasbourg,LATERAL,FRA1,-1.56,-0.95,-0.57,0.26,0.29,0.89,11.0,30.0,33.0,62.0,63.0,83.0
H. Traoré,Real Sociedad,LATERAL,FRA1,0.19,0.76,0.79,1.45,1.66,-0.26,62.0,70.0,81.0,89.0,86.0,48.0
T. Baldé,Troyes,LATERAL,FRA1,-2.1,-2.22,0.62,-0.87,0.3,0.67,3.0,8.0,75.0,24.0,65.0,78.0
M. Diarra,Toulouse,LATERAL,FRA1,-0.42,0.19,-1.01,-1.05,-0.42,-0.46,35.0,60.0,21.0,16.0,51.0,37.0
D. Yongwa,Lorient,LATERAL,FRA1,-0.09,0.11,0.24,0.72,1.41,1.35,46.0,59.0,62.0,78.0,84.0,89.0
T. Weah,Juventus,LATERAL,FRA1,-1.25,-3.13,1.26,-0.15,-1.13,0.37,17.0,3.0,87.0,48.0,22.0,75.0
F. Centonze,Nantes,LATERAL,FRA1,0.17,1.86,0.46,0.64,-1.7,1.49,60.0,87.0,70.0,75.0,13.0,92.0
I. Jakobs,Monaco,LATERAL,FRA1,0.67,-0.77,-0.85,0.47,0.44,-0.33,78.0,35.0,22.0,73.0,68.0,43.0
B. Locko,Brest,LATERAL,FRA1,0.35,0.78,0.35,-0.16,-2.11,0.92,70.0,71.0,67.0,46.0,8.0,84.0
A. Zedadka,Lille,LATERAL,FRA1,-0.64,1.48,-1.72,-0.09,-1.04,-0.23,29.0,78.0,5.0,51.0,25.0,51.0
M. Youssouf,Ajaccio,LATERAL,FRA1,0.1,3.47,-1.58,-1.05,-2.24,-0.1,59.0,100.0,6.0,17.0,5.0,60.0
G. Mensah,Auxerre,LATERAL,FRA1,1.03,2.03,0.97,-0.13,-1.48,-0.46,84.0,94.0,83.0,49.0,17.0,38.0
Q. Merlin,Nantes,LATERAL,FRA1,-0.13,0.32,1.06,2.61,2.41,0.24,44.0,67.0,86.0,97.0,94.0,68.0
R. Aguilar,Lens,LATERAL,FRA1,0.36,-0.42,0.77,1.64,1.41,-1.09,71.0,40.0,79.0,92.0,83.0,8.0
A. Truffert,Rennes,LATERAL,FRA1,0.96,-0.2,-0.44,0.34,0.83,0.36,81.0,44.0,44.0,65.0,76.0,73.0
P. Rosario,Nice,LATERAL,FRA1,0.25,-1.11,0.19,0.27,-0.5,-1.05,63.0,22.0,60.0,63.0,48.0,10.0
Ismaily,Lille,LATERAL,FRA1,-0.06,0.2,0.31,-0.52,0.46,-0.05,49.0,62.0,65.0,35.0,70.0,63.0
D. Machado,Lens,LATERAL,FRA1,-1.47,-2.26,-1.15,-0.77,-0.87,0.84,14.0,6.0,17.0,27.0,32.0,81.0
J. Lotomba,Nice,LATERAL,FRA1,0.82,1.49,0.61,-1.55,-1.64,1.08,79.0,79.0,73.0,8.0,14.0,87.0
G. Kalulu,Lorient,LATERAL,FRA1,-0.07,0.3,-0.57,-1.2,-1.23,-0.7,48.0,63.0,32.0,14.0,19.0,28.0
A. Hakimi,PSG,LATERAL,FRA1,4.17,0.55,3.76,2.4,6.13,1.67,100.0,68.0,100.0,95.0,100.0,95.0
Vanderson,Monaco,LATERAL,FRA1,1.28,2.07,-0.34,0.01,2.39,-0.13,87.0,95.0,49.0,52.0,92.0,59.0
J. Duverne,Nantes,LATERAL,FRA1,1.05,1.61,2.32,0.74,-1.81,0.24,86.0,83.0,97.0,81.0,11.0,70.0
S. Kumbedi,Olympique Lyonnais,LATERAL,FRA1,2.21,2.4,-0.53,-0.26,0.35,-0.37,95.0,97.0,37.0,43.0,67.0,41.0
B. Diakité,Lille,LATERAL,FRA1,1.67,-1.01,-0.43,-1.41,-2.03,-0.96,92.0,24.0,48.0,11.0,10.0,17.0
M. Desler,Toulouse,LATERAL,FRA1,0.48,-0.19,-0.63,-0.62,-0.61,-1.01,73.0,46.0,29.0,32.0,41.0,13.0
F. Guilbert,Strasbourg,LATERAL,FRA1,0.56,3.4,-0.59,0.05,-1.11,-0.07,75.0,98.0,30.0,56.0,24.0,62.0
G. Suazo,Toulouse,LATERAL,FRA1,1.56,2.02,1.02,0.67,1.38,0.43,90.0,92.0,84.0,76.0,79.0,76.0
Caio Henrique,Monaco,LATERAL,FRA1,0.09,-0.99,1.31,1.04,3.11,-0.47,57.0,25.0,89.0,84.0,98.0,35.0
I. Sylla,Montpellier,LATERAL,FRA1,-0.49,0.98,-0.18,0.17,-0.75,-0.31,32.0,75.0,54.0,57.0,38.0,46.0
T. De Smet,Reims,LATERAL,FRA1,-0.22,-0.06,0.14,0.18,-0.85,-0.97,40.0,52.0,57.0,59.0,33.0,14.0
V. Le Goff,Lorient,LATERAL,FRA1,-0.75,-1.19,0.44,0.03,-0.83,-0.67,25.0,19.0,68.0,54.0,35.0,32.0
J. Clauss,Olympique Marseille,LATERAL,FRA1,-0.63,-1.61,1.65,3.47,3.0,0.21,30.0,14.0,90.0,100.0,97.0,67.0
J. Allevinah,Clermont,LATERAL,FRA1,-0.93,-1.61,0.54,-0.56,-0.22,1.92,24.0,13.0,71.0,33.0,56.0,97.0
N. Tagliafico,Olympique Lyonnais,LATERAL,FRA1,0.03,-0.87,-1.28,-0.48,-0.52,-1.11,56.0,32.0,13.0,37.0,46.0,5.0
P. Frankowski,Lens,LATERAL,FRA1,-0.41,-0.98,0.14,3.05,2.01,-0.71,37.0,29.0,59.0,98.0,87.0,25.0
M. Bard,Nice,LATERAL,FRA1,1.49,1.74,0.26,-0.37,-0.94,-0.19,89.0,86.0,63.0,41.0,29.0,56.0
K. Lala,Brest,LATERAL,FRA1,-0.45,-0.3,-0.43,1.5,0.12,-0.68,33.0,41.0,46.0,90.0,60.0,30.0
Neto Borges,Clermont,LATERAL,FRA1,-1.03,-0.5,0.06,-0.48,0.22,0.1,22.0,38.0,56.0,38.0,62.0,65.0
T. Foket,Reims,LATERAL,FRA1,0.01,0.08,-0.81,0.41,-0.12,-1.09,52.0,57.0,24.0,70.0,57.0,6.0
F. Sacko,Montpellier,LATERAL,FRA1,-1.46,-0.01,-0.49,-1.48,-1.2,-0.78,16.0,54.0,40.0,10.0,21.0,24.0
L. Paqarada,Köln,LATERAL,GER1,-0.34,-0.79,0.11,0.81,0.91,-0.17,40.0,35.0,68.0,73.0,75.0,56.0
R. Carstensen,Köln,LATERAL,GER1,1.29,1.02,-0.75,-0.39,-0.3,-0.19,84.0,83.0,29.0,43.0,41.0,54.0
S. Janko,Young Boys,LATERAL,GER1,-0.28,1.16,-1.65,-2.63,-2.87,-0.69,48.0,86.0,6.0,2.0,2.0,30.0
R. Gosens,Union Berlin,LATERAL,GER1,-0.25,4.71,-0.62,-0.26,-1.76,-0.7,52.0,100.0,32.0,48.0,17.0,27.0
C. Lenz,RB Leipzig,LATERAL,GER1,0.68,0.46,-0.8,-0.75,0.58,-0.59,68.0,63.0,27.0,30.0,68.0,37.0
M. Halstenberg,Hannover 96,LATERAL,GER1,0.81,0.03,-0.66,-1.66,-1.1,-0.49,76.0,57.0,30.0,10.0,30.0,40.0
M. Bakker,Atalanta,LATERAL,GER1,-1.06,-0.96,-0.35,-0.61,0.01,0.21,22.0,30.0,41.0,35.0,51.0,71.0
J. Kenny,Hertha BSC,LATERAL,GER1,-1.43,0.77,-0.53,-1.23,-2.2,-0.61,14.0,79.0,38.0,22.0,10.0,35.0
Paulo Otávio,Al Sadd,LATERAL,GER1,1.26,3.08,0.06,1.02,-0.09,-0.38,83.0,95.0,63.0,79.0,48.0,46.0
S. Widmer,Mainz 05,LATERAL,GER1,-0.29,0.63,-0.56,-0.42,1.38,-0.98,46.0,76.0,35.0,40.0,79.0,13.0
F. Nürnberger,Darmstadt 98,LATERAL,GER1,-0.13,-1.08,-0.06,1.4,0.42,-0.35,57.0,24.0,51.0,87.0,67.0,48.0
M. Mittelstädt,Stuttgart,LATERAL,GER1,2.82,3.72,1.33,0.85,0.16,1.25,98.0,98.0,86.0,75.0,57.0,92.0
C. Gamboa,Bochum,LATERAL,GER1,-1.99,1.17,-1.17,-0.31,-1.78,-1.11,6.0,87.0,17.0,44.0,14.0,5.0
F. Honorat,Borussia M'gladbach,LATERAL,GER1,-1.47,-2.58,0.86,1.93,4.27,-0.39,13.0,2.0,81.0,95.0,98.0,44.0
João Cancelo,Barcelona,LATERAL,GER1,3.21,0.06,2.95,1.34,1.6,3.16,100.0,59.0,98.0,86.0,86.0,100.0
J. Maehle,Wolfsburg,LATERAL,GER1,-0.27,-0.08,1.0,0.33,-0.24,-0.07,51.0,54.0,83.0,60.0,43.0,59.0
J. Föhrenbach,Heidenheim,LATERAL,GER1,-1.35,-0.54,-1.01,-1.35,-1.56,-0.82,16.0,41.0,24.0,21.0,19.0,21.0
Iago,Augsburg,LATERAL,GER1,-0.35,0.47,0.05,0.09,-0.02,-0.15,38.0,67.0,62.0,54.0,49.0,57.0
O. Traorè,Heidenheim,LATERAL,GER1,-0.9,-0.34,-0.23,-0.61,-0.81,-0.27,25.0,44.0,46.0,37.0,37.0,52.0
J. Vagnoman,Stuttgart,LATERAL,GER1,-0.88,-1.64,-0.84,-1.42,0.1,0.68,27.0,8.0,25.0,19.0,54.0,78.0
B. Sosa,Ajax,LATERAL,GER1,-0.33,-1.46,2.02,3.81,2.25,-0.05,44.0,16.0,94.0,100.0,94.0,62.0
J. Dina Ebimbe,Eintracht Frankfurt,LATERAL,GER1,1.36,0.55,1.57,1.63,-0.15,1.25,86.0,73.0,89.0,92.0,46.0,90.0
R. Skov,Hoffenheim,LATERAL,GER1,-0.41,-0.2,0.01,-0.26,-0.19,0.79,35.0,49.0,57.0,46.0,44.0,81.0
Alex Grimaldo,Bayer Leverkusen,LATERAL,GER1,0.14,-0.38,0.1,0.75,1.94,-0.65,65.0,43.0,67.0,71.0,90.0,32.0
H. Matriciani,Schalke 04,LATERAL,GER1,-0.03,1.02,-1.97,-2.11,-2.47,-1.01,59.0,84.0,3.0,5.0,5.0,11.0
A. Knauff,Eintracht Frankfurt,LATERAL,GER1,0.07,-0.14,0.22,-0.74,0.37,1.95,62.0,51.0,71.0,32.0,65.0,94.0
J. Roussillon,Union Berlin,LATERAL,GER1,-1.5,-1.47,-1.37,-0.44,-0.4,0.95,10.0,14.0,14.0,38.0,40.0,83.0
Danilo Soares,Bochum,LATERAL,GER1,0.8,3.09,-0.02,-0.25,-1.56,-0.69,75.0,97.0,54.0,49.0,21.0,29.0
R. Sallai,Freiburg,LATERAL,GER1,-1.48,-1.64,-1.56,-0.12,0.3,1.23,11.0,10.0,10.0,51.0,59.0,89.0
C. Brunner,Schalke 04,LATERAL,GER1,0.11,0.76,-0.58,0.16,-0.97,-0.73,63.0,78.0,33.0,59.0,32.0,25.0
J. Juranović,Union Berlin,LATERAL,GER1,-3.0,-2.47,-0.37,0.33,0.07,-1.05,2.0,3.0,40.0,62.0,52.0,6.0
N. Mazraoui,Bayern München,LATERAL,GER1,1.91,-1.18,1.89,1.91,2.15,0.48,90.0,22.0,92.0,94.0,92.0,75.0
Raphaël Guerreiro,Bayern München,LATERAL,GER1,-0.34,-2.16,3.42,3.25,6.09,-0.92,41.0,6.0,100.0,98.0,100.0,14.0
M. Plattenhardt,Hertha BSC,LATERAL,GER1,-2.48,-1.23,-2.16,-1.72,-2.53,-0.8,3.0,19.0,2.0,8.0,3.0,22.0
L. Netz,Borussia M'gladbach,LATERAL,GER1,-0.49,-0.88,-1.38,-1.58,0.61,0.04,32.0,32.0,13.0,13.0,70.0,67.0
P. Max,Eintracht Frankfurt,LATERAL,GER1,-0.54,-0.57,-0.01,0.55,0.75,-1.04,30.0,40.0,56.0,65.0,71.0,10.0
Angeliño,Galatasaray,LATERAL,GER1,-0.83,-1.03,-0.31,0.6,1.24,-0.9,29.0,25.0,44.0,67.0,78.0,16.0
D. da Costa,Mainz 05,LATERAL,GER1,-1.11,-1.03,0.03,0.75,0.14,0.01,21.0,27.0,59.0,70.0,56.0,63.0
C. Günter,Freiburg,LATERAL,GER1,-1.56,-1.49,-1.45,0.14,0.32,-0.85,8.0,13.0,11.0,56.0,62.0,17.0
R. Gumny,Augsburg,LATERAL,GER1,-1.03,-0.02,-1.67,-2.22,-2.42,-0.55,24.0,56.0,5.0,3.0,6.0,38.0
C. Trimmel,Union Berlin,LATERAL,GER1,-2.36,-2.38,-0.03,2.36,1.46,-0.44,5.0,5.0,52.0,97.0,84.0,43.0
K. Sildillia,Freiburg,LATERAL,GER1,0.73,0.53,-1.23,-1.52,-1.48,-0.33,70.0,68.0,16.0,16.0,24.0,51.0
J. Hector,Köln,LATERAL,GER1,2.1,2.7,-0.54,-1.06,-0.96,0.11,92.0,92.0,37.0,24.0,33.0,68.0
M. Richter,Mainz 05,LATERAL,GER1,-0.34,2.86,-0.12,1.08,1.45,2.03,43.0,94.0,49.0,81.0,83.0,95.0
M. Wolf,Borussia Dortmund,LATERAL,GER1,0.77,0.31,2.69,1.17,0.76,0.97,71.0,62.0,95.0,83.0,73.0,86.0
B. Schmitz,Köln,LATERAL,GER1,0.66,-0.29,1.44,1.61,-0.94,-0.84,67.0,48.0,87.0,90.0,35.0,19.0
D. Raum,RB Leipzig,LATERAL,GER1,1.0,-0.84,0.78,1.26,2.26,0.14,78.0,33.0,76.0,84.0,95.0,70.0
J. Scally,Borussia M'gladbach,LATERAL,GER1,-0.28,-1.19,-1.06,-0.86,-1.46,-0.07,49.0,21.0,22.0,27.0,25.0,60.0
P. Kadeřábek,Hoffenheim,LATERAL,GER1,-1.17,-0.57,-1.07,0.5,0.31,-1.05,19.0,38.0,21.0,63.0,60.0,8.0
A. Davies,Bayern München,LATERAL,GER1,2.5,-0.32,2.82,-0.1,2.59,2.88,97.0,46.0,97.0,52.0,97.0,98.0
M. Simakan,RB Leipzig,LATERAL,GER1,2.16,0.17,1.09,-0.4,-1.37,-0.45,95.0,60.0,84.0,41.0,27.0,41.0
L. Kübler,Freiburg,LATERAL,GER1,-0.01,1.01,-1.61,-1.52,-1.8,-1.17,60.0,81.0,8.0,14.0,13.0,2.0
R. Baku,Wolfsburg,LATERAL,GER1,-0.38,-1.01,0.09,0.94,0.32,0.36,37.0,29.0,65.0,78.0,63.0,73.0
R. Bensebaini,Borussia Dortmund,LATERAL,GER1,1.06,1.6,0.85,-0.79,-1.5,-0.34,81.0,89.0,79.0,29.0,22.0,49.0
M. Pedersen,Augsburg,LATERAL,GER1,-1.18,0.54,-0.31,-1.45,-1.93,0.03,17.0,71.0,43.0,17.0,11.0,65.0
Aurélio Buta,Eintracht Frankfurt,LATERAL,GER1,1.06,0.46,0.05,0.86,1.04,0.64,79.0,65.0,60.0,76.0,76.0,76.0
B. Henrichs,RB Leipzig,LATERAL,GER1,2.16,1.72,0.8,0.63,1.66,0.79,94.0,90.0,78.0,68.0,87.0,79.0
J. Ryerson,Borussia Dortmund,LATERAL,GER1,1.56,0.55,0.19,-0.67,-1.77,0.96,87.0,75.0,70.0,33.0,16.0,84.0
M. Weiser,Werder Bremen,LATERAL,GER1,0.79,0.54,0.57,1.49,1.42,0.98,73.0,70.0,73.0,89.0,81.0,87.0
A. Jung,Werder Bremen,LATERAL,GER1,-0.16,-1.38,-1.08,-1.73,-1.3,-1.14,56.0,17.0,19.0,6.0,29.0,3.0
A. Caci,Mainz 05,LATERAL,GER1,-0.2,-0.11,-0.22,0.14,-0.54,-0.62,54.0,52.0,48.0,57.0,38.0,33.0
J. Frimpong,Bayer Leverkusen,LATERAL,GER1,-0.44,-1.55,1.68,-0.94,1.81,2.55,33.0,11.0,90.0,25.0,89.0,97.0
W. Anton,Stuttgart,LATERAL,GER1,1.66,-0.7,0.64,-1.6,-2.27,-0.79,89.0,37.0,75.0,11.0,8.0,24.0
S. Petavrakis,Panserraikos,LATERAL,GRE,-2.03,-1.01,-1.19,-1.69,-0.92,-1.08,7.0,25.0,23.0,11.0,34.0,5.0
F. Ferrari,Aris,LATERAL,GRE,2.94,0.73,2.79,3.74,2.47,1.84,98.0,68.0,95.0,100.0,93.0,95.0
H. Sy,Estoril,LATERAL,GRE,-0.1,-0.09,-1.68,-2.3,-2.71,-0.18,50.0,50.0,7.0,5.0,5.0,55.0
Milad Mohammadi,AEK Athens,LATERAL,GRE,2.71,2.0,0.28,-0.19,-0.74,1.27,95.0,91.0,75.0,52.0,43.0,91.0
I. Chatzitheodoridis,Panetolikos FC,LATERAL,GRE,-1.66,0.1,-1.27,-1.43,-2.17,0.43,16.0,55.0,20.0,14.0,7.0,77.0
G. Vagiannidis,Panathinaikos,LATERAL,GRE,4.01,1.42,2.91,0.26,1.72,1.83,100.0,82.0,98.0,61.0,84.0,93.0
S. Vasilantonopoulos,Lamia,LATERAL,GRE,-2.23,-0.8,-2.23,-1.97,-2.16,-0.4,5.0,30.0,2.0,7.0,9.0,43.0
S. Panagiotou,PAE Chania,LATERAL,GRE,-1.63,0.76,-1.48,-1.17,-1.31,-0.53,18.0,70.0,11.0,20.0,23.0,36.0
Rubén García,Asteras Tripolis,LATERAL,GRE,-0.03,0.08,-1.63,-0.46,-1.36,-0.66,57.0,52.0,9.0,45.0,20.0,27.0
Martín Montoya,Aris,LATERAL,GRE,1.2,0.88,-0.84,-0.91,-0.48,-0.04,86.0,75.0,27.0,32.0,52.0,66.0
E. Tachatos,Volos NFC,LATERAL,GRE,-0.21,3.23,-2.16,-3.31,-2.97,-0.91,43.0,100.0,5.0,2.0,2.0,9.0
D. Sidibé,AEK Athens,LATERAL,GRE,1.55,0.24,1.66,2.24,2.86,-0.75,89.0,57.0,86.0,89.0,95.0,18.0
M. Tsaousis,PAS Giannina,LATERAL,GRE,-0.05,1.53,-1.33,-1.87,-0.61,0.46,55.0,86.0,18.0,9.0,48.0,82.0
K. Pileas,Panserraikos,LATERAL,GRE,-1.92,-2.36,-0.19,-1.18,0.44,0.45,9.0,7.0,52.0,18.0,66.0,80.0
G. Masouras,Kifissia,LATERAL,GRE,-0.26,1.92,0.34,-0.31,-0.65,0.57,36.0,89.0,77.0,48.0,45.0,84.0
P. Silva,Panetolikos FC,LATERAL,GRE,-0.45,0.32,-0.56,-0.25,0.75,0.05,32.0,59.0,34.0,50.0,68.0,70.0
B. Mazikou,Servette,LATERAL,GRE,0.62,0.98,0.07,-0.01,-0.88,0.22,77.0,80.0,66.0,55.0,36.0,75.0
G. Valerianos,Kalamata,LATERAL,GRE,-0.49,2.02,-0.34,-0.8,-0.4,-0.05,30.0,93.0,43.0,36.0,55.0,64.0
O. Reabciuk,Spartak Moskva,LATERAL,GRE,0.65,-0.44,-1.36,-1.02,-0.93,-0.34,80.0,41.0,16.0,25.0,32.0,48.0
M. Peersman,Groningen,LATERAL,GRE,1.11,-0.76,-0.07,-1.29,-0.54,-1.06,84.0,34.0,59.0,16.0,50.0,7.0
T. Tsapras,Levadiakos,LATERAL,GRE,-1.63,-0.23,-0.61,-1.03,-1.41,-0.14,20.0,45.0,32.0,23.0,18.0,57.0
G. Migas,Volos NFC,LATERAL,GRE,0.05,1.44,0.78,-0.51,0.35,2.99,59.0,84.0,80.0,43.0,64.0,98.0
S. Pilios,AEK Athens,LATERAL,GRE,0.37,0.91,-0.37,0.55,0.09,0.18,66.0,77.0,41.0,70.0,61.0,73.0
G. Liavas,Panetolikos FC,LATERAL,GRE,-0.31,-0.17,-0.15,0.01,-1.06,-0.2,34.0,48.0,55.0,59.0,30.0,52.0
D. Houhoumis,Asteras Tripolis,LATERAL,GRE,-0.17,0.64,0.06,0.36,-1.47,-0.49,48.0,66.0,64.0,66.0,11.0,39.0
L. Abanda,OFI,LATERAL,GRE,-1.79,-0.86,0.11,2.73,2.92,-0.64,11.0,27.0,68.0,95.0,98.0,30.0
Joan Sastre,PAOK,LATERAL,GRE,-0.24,-1.28,-0.2,-0.91,1.47,-0.6,41.0,18.0,50.0,30.0,77.0,32.0
David Carmona,Asteras Tripolis,LATERAL,GRE,0.54,2.14,-1.44,-0.76,-1.46,-0.66,73.0,95.0,14.0,39.0,14.0,25.0
Juankar,Panathinaikos,LATERAL,GRE,-1.2,-1.83,-0.07,0.57,-0.26,-0.36,25.0,11.0,61.0,73.0,57.0,45.0
L. Rota,AEK Athens,LATERAL,GRE,1.63,-0.5,1.4,1.73,1.7,-0.02,91.0,39.0,84.0,86.0,82.0,68.0
M. Odubajo,Aris,LATERAL,GRE,-0.06,-1.56,-0.21,-0.97,-0.8,1.08,52.0,16.0,48.0,27.0,39.0,89.0
G. Kotsiras,Panathinaikos,LATERAL,GRE,2.56,0.82,3.88,2.38,1.44,-0.45,93.0,73.0,100.0,93.0,75.0,41.0
G. THorarinsson,OFI,LATERAL,GRE,-0.17,-1.6,1.28,2.31,0.98,-1.12,45.0,14.0,82.0,91.0,70.0,2.0
F. Álvarez,Asteras Tripolis,LATERAL,GRE,0.26,0.62,-0.55,-0.01,-0.8,-0.05,64.0,64.0,36.0,57.0,41.0,61.0
E. Hajisafi,AEK Athens,LATERAL,GRE,0.5,-0.29,1.89,3.0,2.11,-0.8,68.0,43.0,89.0,98.0,86.0,16.0
David Simón,Lamia,LATERAL,GRE,1.07,2.54,0.14,0.49,-1.19,-0.06,82.0,98.0,70.0,68.0,27.0,59.0
Rafa Soares,PAOK,LATERAL,GRE,-0.63,-2.49,-0.13,0.33,1.3,-0.59,27.0,5.0,57.0,64.0,73.0,34.0
Antonio Luna,Volos NFC,LATERAL,GRE,-1.68,-1.9,-1.01,-0.52,-1.26,-0.71,14.0,9.0,25.0,41.0,25.0,23.0
L. De Bock,Atromitos,LATERAL,GRE,-0.24,0.51,-0.4,-0.91,-1.45,-0.86,39.0,61.0,39.0,34.0,16.0,14.0
Rodinei,Olympiacos Piraeus,LATERAL,GRE,0.62,-1.19,2.41,1.2,2.25,3.55,75.0,20.0,93.0,84.0,91.0,100.0
E. Larsson,OFI,LATERAL,GRE,0.15,-0.55,0.2,1.07,3.59,0.72,61.0,36.0,73.0,80.0,100.0,86.0
Carles Soria,PAS Giannina,LATERAL,GRE,-1.21,-1.07,-0.66,1.16,2.14,-0.74,23.0,23.0,30.0,82.0,89.0,20.0
N. Alho,Volos NFC,LATERAL,GRE,-2.65,-4.1,-0.23,1.01,-0.13,-0.88,2.0,2.0,45.0,77.0,59.0,11.0
W. Kechrida,Atromitos,LATERAL,GRE,0.53,-0.78,2.19,0.64,1.5,-0.28,70.0,32.0,91.0,75.0,80.0,50.0
N. Bakboord,Heracles,LATERAL,HOL,0.78,0.97,-0.16,-0.08,-0.68,-0.18,76.0,76.0,46.0,51.0,37.0,44.0
S. Floranus,Almere City,LATERAL,HOL,-1.11,0.15,-1.63,-1.13,-0.23,-1.17,15.0,54.0,7.0,19.0,51.0,14.0
D. van der Kust,Sparta Rotterdam,LATERAL,HOL,1.01,2.43,-0.21,0.87,1.51,-0.03,83.0,98.0,44.0,75.0,81.0,47.0
L. van Gelderen,Groningen,LATERAL,HOL,-0.47,2.38,-0.06,0.01,-0.67,0.73,32.0,97.0,53.0,56.0,39.0,78.0
Y. Baas,NEC,LATERAL,HOL,1.53,2.25,-1.77,-0.53,-0.72,0.27,90.0,93.0,5.0,37.0,36.0,63.0
A. MacNulty,PEC Zwolle,LATERAL,HOL,2.06,2.34,0.25,1.28,-1.3,0.23,98.0,95.0,63.0,85.0,25.0,61.0
O. Wijndal,Antwerp,LATERAL,HOL,0.92,-2.91,1.56,0.96,1.44,-0.39,81.0,2.0,88.0,80.0,80.0,36.0
S. van Wermeskerken,NEC,LATERAL,HOL,0.55,0.58,-0.7,-0.31,-0.95,-0.74,73.0,66.0,34.0,46.0,31.0,25.0
